No,;Time;Source;Destination;Protocol;Length;Info;;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
1;0;192,168,1,6;36,92,238,205;TCP;66;57999  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;0;1,011917;2,014201;;1,983463;0,030738;-1,952725
2;1,011917;192,168,1,6;36,92,238,205;TCP;66;[TCP Retransmission] 57999  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;1,011917;3,026118;0,030738;;-2,347633;2,378371;4,726004
3;3,026118;192,168,1,6;36,92,238,205;TCP;66;[TCP Retransmission] 57999  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;3,026118;3,056856;2,378371;;2,378371;0;-2,378371
4;3,056856;204,79,197,254;192,168,1,6;TCP;54;443  >  57943 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;3,056856;5,435227;0;;-0,000149;0,000149;0,000298
5;5,435227;117,18,237,29;192,168,1,6;TCP;56;80  >  57944 [ACK] Seq=1 Ack=1 Win=131 Len=0;;;5,435227;5,435227;0,000149;;-0,000108;0,000257;0,000365
6;5,435227;117,18,237,29;192,168,1,6;TCP;54;[TCP Previous segment not captured] 80  >  57944 [FIN, ACK] Seq=2 Ack=1 Win=131 Len=0;;;5,435227;5,435376;0,000257;;-0,0068;0,007057;0,013857
7;5,435376;192,168,1,6;117,18,237,29;TCP;54;[TCP ACKed unseen segment] 57944  >  80 [ACK] Seq=1 Ack=2 Win=516 Len=0;;;5,435376;5,435633;0,007057;;0,006961;0,000096;-0,006865
8;5,435633;192,168,1,6;117,18,237,29;TCP;54;57944  >  80 [ACK] Seq=1 Ack=3 Win=516 Len=0;;;5,435633;5,44269;0,000096;;-0,019391;0,019487;0,038878
9;5,44269;117,18,237,29;192,168,1,6;TCP;54;[TCP Retransmission] 80  >  57944 [FIN, ACK] Seq=2 Ack=1 Win=131 Len=0;;;5,44269;5,442786;0,019487;;0,012074;0,007413;-0,004661
10;5,442786;192,168,1,6;117,18,237,29;TCP;54;[TCP Dup ACK 8#1] 57944  >  80 [ACK] Seq=1 Ack=3 Win=516 Len=0;;;5,442786;5,462273;0,007413;;-1,551055;1,558468;3,109523
11;5,462273;192,168,1,6;5,62,54,89;TCP;55;57849  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=1;;;5,462273;5,469686;1,558468;;-3,984829;5,543297;9,528126
12;5,469686;5,62,54,89;192,168,1,6;TCP;56;80  >  57849 [ACK] Seq=1 Ack=2 Win=4400 Len=0;;;5,469686;7,028154;5,543297;;5,514852;0,028445;-5,486407
13;7,028154;192,168,1,6;36,92,238,205;TCP;66;[TCP Retransmission] 57999  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;7,028154;12,571451;0,028445;;0,009934;0,018511;0,008577
16;12,571451;117,18,237,29;192,168,1,6;TCP;54;80  >  57944 [RST, ACK] Seq=3 Ack=1 Win=0 Len=0;;;12,571451;12,599896;0,018511;;0,018321;0,00019;-0,018131
17;12,599896;192,168,1,6;117,18,237,29;TCP;54;57985  >  80 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0;;;12,599896;12,618407;0,00019;;-1,53129;1,53148;3,06277
18;12,618407;117,18,237,29;192,168,1,6;TCP;54;80  >  57985 [FIN, ACK] Seq=1 Ack=2 Win=288 Len=0;;;12,618407;12,618597;1,53148;;1,514916;0,016564;-1,498352
19;12,618597;192,168,1,6;117,18,237,29;TCP;54;57985  >  80 [ACK] Seq=2 Ack=2 Win=513 Len=0;;;12,618597;14,150077;0,016564;;-0,223136;0,2397;0,462836
